fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm-5,width_mm
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1000,1,16.28,15.91
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1000,2,11.1,8.66
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1000,3,1.82,2.95
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0,1,79,79
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0,2,79,79
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0,3,75.97,79
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0.01,1,66.72,62.86
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0.01,2,60.78,59.52
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0.01,3,60.75,63.36
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0.1,1,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0.1,2,44.63,40.46
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,0.1,3,56.89,52.52
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,1,1,8.03,6.89
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,1,2,5.32,5.39
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,1,3,3.31,2.28
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,10,1,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,10,2,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,10,3,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,100,1,2.57,3.86
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,100,2,3.11,2.8
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,100,3,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,500,1,9.86,8.51
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,500,2,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,500,3,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,1000,1,6.28,3.97
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,1000,2,0,0
Cabrio,Pyraclostrobin,Gla18-38,SB11,7,1000,3,0,0
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,1,79,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,2,79,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,3,79,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,1,79,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,2,79,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,3,76.1,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,1,70.23,68.73
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,2,79,79
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,3,76.39,71.96
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,1,34.33,27.97
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,2,63.78,71.94
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,3,55.33,46.85
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,1,27.42,27.37
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,2,33.5,35.06
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,3,39.08,42.54
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,1,38.89,39.38
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,2,37.17,39.68
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,3,36.82,35.19
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,500,1,20.71,20.21
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,500,2,20.31,16.56
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,500,3,42.89,39.57
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1000,1,15.27,12.85
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1000,2,31.35,22.01
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1000,3,12.79,8.51
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0,1,79,79
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0,2,79,79
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0,3,79,79
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.01,1,79,79
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.01,2,79,79
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.01,3,79,79
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.1,1,78.74,76.61
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.1,2,75,76.05
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.1,3,75.81,77.31
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1,1,46.6,39.83
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1,2,35.82,33.9
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1,3,43.46,40.5
